Gem Glow,,[],,Open Overview of Beach City,
Gem Glow,,[],,Trans. Ext. Big Donut,
Gem Glow,Steven,[],NOOOOOOOOOOOOO!!,,
Gem Glow,,[],,Trans. Int. Big Donut,
Gem Glow,Steven,"['looking at an empty freezer', 'grabs Lars around his waist']",This can't be happening! This has to be a dream! Lars! Lars!  Please tell me I'm dreaming!,,
Gem Glow,Lars,['shakes Steven off'],"Get off me man, I'm stocking here!",,
Gem Glow,Sadie,[],"I'm sorry, Steven. I guess they stopped making them.",,
Gem Glow,Steven,[],Stopped making them?! Why in the world would they stop making Cookie Cats?! They're only the most scrumptious and delicious ice-cream sandwich ever made! Don't they have laws for this?!,,
Gem Glow,Lars,"['kneels to restock a cabinet and sighs', 'stocks shelves']","Tough bits, man. Nobody buys them anymore.  I guess they couldn't compete with Lion Lickers.",,
Gem Glow,Steven,['groans as he walks over to the fridge of Lion Lickers'],Not Lion Lickers! Nobody likes them! They don't even look like lions! Kids these days — I'll tell ya what!,,
Gem Glow,Lars,"['chuckles and mocks', 'laughs and walks away']","Well, if you miss your wimpy ice cream so much, why don't you make some with your ""magic belly button""?",,
Gem Glow,Steven,"['reveals a gem at his navel and jiggles his belly', 'draws a cookie cat on the freezer with his finger and kisses it']","That's not how it works, Lars! ...Right?  Oh, sweet Cookie Cats, with your crunchy cookie outside and your icy creamy insides... You were too good for this world.",,
Gem Glow,Sadie,[],Ugh... Steven?,,
Gem Glow,,[],,,Steven doesn't reply as he hugs the freezer.
Gem Glow,Sadie,[],Do you want to take the freezer with you?,,
Gem Glow,,[],,,Lars leans over and looks at Steven in confusion. Steven nods.
Gem Glow,,[],,Trans. Ext. Beach House,
Gem Glow,,[],,,"Steven hums ""Cookie Cat"" while running home, carrying the Cookie Cat freezer on his back."
Gem Glow,,[],,Trans. Int. Beach House,
Gem Glow,Steven,['opens the door of his home'],"Hey, guys! You won't believe this!",,
Gem Glow,,[],,,"Steven is suddenly attacked by a Centipeetle. It roars at him and he screams. A whip then wraps around it, revealing to be Amethyst's."
Gem Glow,Amethyst,['yanks the Centipeetle off of Steven'],"'Sup, Steven?",,
Gem Glow,,[],,,"Pearl can be seen fighting off Centipeetles on the Warp Pad, and Garnet is fighting in the kitchen."
Gem Glow,Steven,[],Awesome! What are these things?,,
Gem Glow,Pearl,['groans and lifts up a Centipeetle'],"Ugh! Sorry, Steven. We'll get these Centipeetles out of your room. We think they were trying to get into the temple.",,
Gem Glow,Steven,[],Aw. You don't have to get rid of them. They're really cool.,,
Gem Glow,,[],,,"The Centipeetle that Pearl is holding spits acid onto the floor, dissolving it into a hole, which Steven and Pearl look in disgust."
Gem Glow,Amethyst,['poofs a Centipeetle and picks her nose'],"Um, you guys? These things don't have gems.",,
Gem Glow,Garnet,[],That means there must be a mother somewhere nearby.,,
Gem Glow,,[],,,"A Centipeetle sneaks up from beside Garnet, which she quickly punches away."
Gem Glow,Pearl,[],We should probably find it before anyone gets hurt.,,
Gem Glow,Steven,['excitedly'],Oh! Oh! Can I come?! Can I?! Can I?!,,
Gem Glow,Pearl,['snaps the neck of the Centipeetle she is holding'],"Steven, until you learn to control the powers in your gem, we'll take care of protecting humanity, okay?",,
Gem Glow,Steven,['notices a Centipeetle raiding his fridge'],"Aw, man.  Hey! Get out of there! Go on! Shoo! Shoo! Aw! They got into everything! Not cool!",,
Gem Glow,,[],,,Garnet punches and poofs it. Steven then notices that the fridge is full of Cookie Cats.
Gem Glow,Steven,[],No way. I-it can't be! Wha-where did you get these?! I thought they stopped making them!,,
Gem Glow,Pearl,['closes the fridge'],"Well, we heard that, too, and since they're your favorite...",,
Gem Glow,Amethyst,[],We went out and stole a bunch.,,
Gem Glow,Pearl,['grunts at Amethyst'],I went back and paid for them.,,
Gem Glow,Garnet,['retracts her gauntlets back to her gems'],The whole thing was my idea.,,
Gem Glow,Amethyst,[],It was everyone's idea.,,
Gem Glow,Garnet,[],Not really.,,
Gem Glow,Pearl,[],All that matters is that Steven is happy.,,
Gem Glow,,[],,,"Steven starts singing the ""Cookie Cat"" jingle."
